"#","Reference","Qty","Short Description","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Supplier Price ($)","Type","Package","Category","Subcategory"
"18","J5","1","BATTERY HOLDER 18350 SMD","Keystone","1096","DigiKey","36-1096-ND","5.02","SMD","Nonstandard 2-pin","Connector Assembly","Battery Header (18350)"
"19","J6","1","CONN HEADER SMD 3POS 2.54MM","Samtec Inc.","TSM-103-01-S-SV","DigiKey","SAM10787-ND","0.76","SMD","Nonstandard 3-pin","Connector Assembly","3-Pin Male Header"
"20","J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19","12","CONN HDR 2POS 0.1 TIN SMD","Sullins Connector Solutions","NPTC021KFXC-RC","DigiKey","S5594-ND","0.51","SMD","Nonstandard 2-pin","Connector Assembly","2-Pin Female Header"
"21","J20,J22","2","WR-PHD 2.54 MM SOCKET HEADER 20","Würth Elektronik","61302011821","DigiKey","732-61302011821-ND","0.88","Through Hole","Nonstandard 20-pin","Connector Assembly","20-Pin Female Header"
"22","J21,J23","2","CONN HEADER VERT 20POS 2.54MM","Würth Elektronik","61302011121","DigiKey","732-5329-ND","1.16","Through Hole","Nonstandard 20-pin","Connector Assembly","20-Pin Male Header"
"23","L1,L2","2","FIXED IND 4.7UH 4.9A 15 MOHM SMD","EPCOS - TDK Electronics","B82464P4472M000","DigiKey","732-1175-1-ND","1.59","SMD","Nonstadard 2-pin","Inductor","Drum Core Inductor"
"24","OPA1","1","IC ZERO CROSS 2 CIRCUIT 8-VSSOP","Texas Instruments","OPA2323IDGKR","DigiKey","296-OPA2323IDGKRCT-ND","1.67","SMD","8-VSSOP","Op-Amp","Dual General Purpose Op-Amp"
"25","PMIC1","1","IC BATT CHG LI-ION 1CELL 20QFN","Microchip Technology","MCP73871-2CCI/ML","DigiKey","MCP73871-2CCI/ML-ND","2.41","SMD","20-QFN","Power Management Integrated Circuit (PMIC)","Battery Charger"
"26","PMIC2","1","POWER MANAGEMENT","Texas Instruments","TPS22919DCKR","DigiKey","296-TPS22919DCKRCT-ND","0.22","SMD","SOT-363","Power Management IC","Load Switch"
"27","PMIC3","1","IC REG LINEAR 2.5V 200MA SOT23-5","Texas Instruments","TPS79325DBVR","DigiKey","296-12156-1-ND","0.33","SMD","SOT23-5","Power Management IC","+2V5 LDO"
"28","PMIC4","1","IC REG CHARGE PUMP 200MA SOT23-6","Texas Instruments","LM2776DBVT","DigiKey","296-42300-1-ND","1.29","SMD","SOT23-6","Power Management IC","Charge Pump"
"29","PMIC5","1","IC REG LIN -2.5V 200MA SOT23-5","Texas Instruments","TPS72325QDBVRQ1","DigiKey","296-39479-1-ND","4.00","SMD","SOT23-5","Power Management IC","-2.5V LDO"
"30","PMIC6","1","IC REG BUCK BOOST ADJ DL 24VQFN","Texas Instruments","TPS65131RGER","DigiKey","296-41760-1-ND","3.51","SMD","24-VQFN","Power Management IC","Buck-Boost Converter"
"31","PMIC7","1","IC REG LINEAR 12V 500MA DPAK","Onsemi","MC78M12CDTRKG","DigiKey","MC78M12CDTRKGOSCT-ND","0.43","PMIC","DPAK","Power Management IC","+12V LDO"
"32","PMIC8","1","IC REG LINEAR -12V 500MA DPAK","Onsemi","MC79M12CDTRKG","DigiKey","MC79M12CDTRKGOSCT-ND","0.47","PMIC","DPAK","Power Management IC","-12V LDO"
"33","Q1,Q2,Q3","3","MOSFET N-CH 50V 220MA SOT23-3","Onsemi","BSS138","DigiKey","BSS138CT-ND","0.28","SMD","SOT23-3","Transistor","MOSFET (NCH)"
"34","Q4","1","MOSFET P-CH 30V 4A SOT23-3L","Alpha & Omega Semiconductor Inc.","AO3401A","DigiKey","785-1001-1-ND","0.52","SMD","SOT23-3","Transistor","MOSFET (PCH)"
"35","R1","1","RES 124K OHM 1% 1/10W 0402","Vishay","CRCW0402124KFKED","DigiKey","541-124KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"36","R2","1","NTC Thermistor 10k 0402 (1005 Metric)","TDK","NTCG103JF103FT1","DigiKey","445-2550-1-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Thermistor"
"37","R3","1","RES 976 OHM 1% 1/10W 0402","Vishay","CRCW0402976RFKED","DigiKey","541-976LCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"38","R4,R5,R6,R7,R8,R9,R21,R25,R30","9","RES 47K OHM 1% 1/16W 0402","Vishay","CRCW040247K0FKED","DigiKey","541-47.0KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"39","R10,R11,R12,R13","4","RES 1K OHM 1% 1/16W 0402","Vishay","CRCW04021K00FKED","DigiKey","541-1.00KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"40","R14","1","RES 20K OHM 1% 1/16W 0402","Vishay","CRCW040220K0FKED","DigiKey","541-20.0KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"41","R15","1","RES 2K OHM 1% 1/16W 0402","Vishay","CRCW04022K00FKED","DigiKey","541-2.00KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"42","R16","1","RESISTOR - ISA-PLAN SHUNT, 1, 1%","Isabellenhuette USA","SMS-1R00-1.0","DigiKey","4423-SMS-1R00-1.0CT-ND","3.89","SMD","2512 (6332 Metric)","Resistor","Current Sense Resistor"
"43","R17,R18","2","RES 10K OHM 1% 1/16W 0402","Vishay","CRCW040210K0FKED","DigiKey","541-10.0KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"44","R19,R20","2","RES 15K OHM 1% 1/16W 0402","Vishay","CRCW040215K0FKED","DigiKey","541-15.0KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"45","R22","1","RES 100K OHM 1% 1/16W 0402","Vishay","CRCW0402100KFKED","DigiKey","541-100KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"46","R23","1","RES 453 OHM 1% 1/10W 0402","Vishay","CRCW0402453RFKED","DigiKey","541-453LCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"47","R24","1","RES 100 OHM 1% 1/10W 0402","Vishay","CRCW0402100RFKED","DigiKey","541-100LCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"48","R26,R29","2","RES 1M OHM 1% 1/16W 0402","Vishay","CRCW04021M00FKED","DigiKey","541-1.00MLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"49","R27","1","RES 97.6K OHM 1% 1/10W 0402","Vishay","CRCW040297K6FKED","DigiKey","541-97.6KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"50","R28","1","RES 88.7K OHM 1% 1/10W 0402","Vishay","CRCW040288K7FKED","DigiKey","541-88.7KLCT-ND","0.10","SMD","0402 (1005 Metric)","Resistor","Surface Mount Think Film Resistor"
"51","SW1","1","SWITCH SLIDE SPDT 200MA 12V","Nidec Components Corporation","CL-SB-12A-12T","DigiKey","563-1317-1-ND","1.52","SMD","Custom","Switch","SPDT Slide Switch"
"52","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16","16","PC TEST POINT MINIATURE","Keystone Electronics","5019","DigiKey","36-5019CT-ND","0.24","SMD","Nonstandard 1-pin","Test Point","Miniature Hook Test Point"
